mpids,formula,is_stable,theoretical,band_gap,formation_energy_per_atom,Value,Temperature_raw_value,DOI,compound_type
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[3.03],,10.1016/j.cej.2020.124100,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[3.733],,10.1016/j.cej.2020.124802,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[3.2],,10.1016/j.jece.2015.09.002,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[3.2],,10.1016/j.jece.2015.09.002,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[3.2],,10.1016/j.jece.2017.07.031,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[3.2],,10.1016/j.jece.2017.07.031,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[3.05],,10.1016/j.jece.2018.06.046,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[3.05],,10.1016/j.jece.2018.06.046,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[3.2],,10.1016/j.jece.2020.104168,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[5.15],,10.1016/j.matpr.2015.10.032,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[3.0],,10.1016/j.matpr.2016.04.054,Double anions
