split_dir,split_name,method,val_mae_mean,val_mae_std,val_mre_mean,val_mre_std,val_r2_mean,val_r2_std,test_mae_mean,test_mae_std,test_mre_mean,test_mre_std,test_r2_mean,test_r2_std,val_mae_count,val_mre_count,val_r2_count,test_mae_count,test_mre_count,test_r2_count
category,Arsenides,chgnet_z,1.1750081777572632,,1.1938269138336182,,-8.491708755493164,,1.1750082969665527,,1.1938269138336182,,-8.491708755493164,,1,1,1,1,1,1
category,Arsenides,leftnet_prop,0.7781225442886353,,0.7217841148376465,,-3.382638454437256,,0.7781225442886353,,0.7217841148376465,,-3.382638454437256,,1,1,1,1,1,1
category,Arsenides,leftnet_z,0.6238332986831665,,0.6487013101577759,,-2.3879735469818115,,0.6238332986831665,,0.6487013697624207,,-2.3879735469818115,,1,1,1,1,1,1
category,Arsenides,linear_regression,0.7118756599397983,,0.7079751813222527,,-2.8233622854167657,,0.7118756599397983,,0.7079751813222527,,-2.8233622854167657,,1,1,1,1,1,1
category,Arsenides,random_forest,0.5110445799924773,,0.4841372435345123,,-0.9274142568584092,,0.5110445799924773,,0.4841372435345123,,-0.9274142568584092,,1,1,1,1,1,1
category,Arsenides,svm,0.6142511688600532,,0.6286504672410096,,-1.914035255365885,,0.6142511688600532,,0.6286504672410096,,-1.914035255365885,,1,1,1,1,1,1
category,Carbides,alignn_prop,0.7018190026283264,,0.2871140539646148,,-0.7742691040039062,,0.7018190026283264,,0.2871140539646148,,-0.7742691040039062,,1,1,1,1,1,1
category,Carbides,alignn_z,0.5175714492797852,,0.1811806261539459,,-0.1182248592376709,,0.5175714492797852,,0.1811806261539459,,-0.1182248592376709,,1,1,1,1,1,1
category,Carbides,cartnet,0.6346989870071411,,0.2500234544277191,,-0.2593623399734497,,0.6346988677978516,,0.2500234544277191,,-0.259361982345581,,1,1,1,1,1,1
category,Carbides,cartnet_prop,0.8465023636817932,,0.3223762512207031,,-1.512115716934204,,0.8465023636817932,,0.3223763108253479,,-1.512115716934204,,1,1,1,1,1,1
category,Carbides,cgcnn,1.462882399559021,,0.5901561975479126,,-6.931164264678955,,1.462882399559021,,0.5901561975479126,,-6.931164264678955,,1,1,1,1,1,1
category,Carbides,chgnet_prop,1.2479063272476196,,0.5342726707458496,,-2.937225818634033,,1.2479063272476196,,0.5342726707458496,,-2.937225818634033,,1,1,1,1,1,1
category,Carbides,chgnet_z,0.6276825070381165,,0.2656605839729309,,-0.6751374006271362,,0.6276825070381165,,0.2656605243682861,,-0.6751374006271362,,1,1,1,1,1,1
category,Carbides,leftnet_prop,0.7018378376960754,,0.2635922431945801,,-0.6035536527633667,,0.7018378376960754,,0.2635922431945801,,-0.6035536527633667,,1,1,1,1,1,1
category,Carbides,leftnet_z,0.4620830118656158,,0.20767642557621,,0.3136766850948334,,0.4620830118656158,,0.20767642557621,,0.3136766850948334,,1,1,1,1,1,1
category,Carbides,linear_regression,0.8537129087970258,,0.3727193788428923,,-1.1180627154868217,,0.8537129087970258,,0.3727193788428923,,-1.1180627154868217,,1,1,1,1,1,1
category,Carbides,random_forest,0.6004392622198377,,0.2427183049526103,,-0.0798161131699253,,0.6004392622198377,,0.2427183049526103,,-0.0798161131699253,,1,1,1,1,1,1
